,Ten San Pham,Gia
0,Android tivi Hisense 43 inch 43A4N,5390000.00đ
1,Google tivi Sony 4K 50 inch K-50S30,15590000.00đ
2,Loa Paramax FX-2500 (Walnut),9500000.00đ
3,Internet tivi Casper 4K 58 inch 58UX5200,6990000.00đ
4,Loa du lịch Nova Audio NV-1500 Super Bass,8790000.00đ
5,Google tivi TCL QLED 4K 65 inch 65C655,17990000.00đ
6,Smart tivi Samsung Crystal UHD 4K 50 inch UA50DU7000KXXV,12390000.00đ
7,Loa tháp Samsung MX-ST90B/XV,11990000.00đ
8,Máy lạnh Reetech 2 HP RT18-TB-BT,11590000.00đ
9,Máy lạnh Mitsubishi Heavy inverter 2 HP SRK18YYP-W5,18590000.00đ
10,Máy lạnh Casper inverter 1.5 HP QC-12IS36,7490000.00đ
11,Máy lạnh Daikin inverter 1.5 HP FTKY35WAVMV,16490000.00đ
12,Máy lạnh Panasonic 1.5 HP CU/CS-N12ZKH-8,11990000.00đ
13,Máy lạnh LG inverter 1 HP V10WIN1,8190000.00đ
14,Máy lạnh Nagakawa 1 HP NS-C09R2T30,6590000.00đ
15,Máy lạnh MDV inverter 2 HP MDVG-18CRDN8,13500000.00đ
16,Tủ lạnh LG inverter 459 lít LTD46SVMA,13490000.00đ
17,Máy giặt Aqua 8.2 kg AQW-S82JT.BK,4690000.00đ
18,Tủ đông ALASKA Inverter 221L BCD-3568CI,8490000.00đ
19,Tủ mát Sanaky 130 lít VH-168KL,7690000.00đ
20,Tủ lạnh Toshiba inverter 474 lít GR-RF611WI-PGV(22)-XK,17990000.00đ
21,Máy giặt Casper inverter 9 kg WF-9VG1,5990000.00đ
22,Tủ lạnh Hitachi inverter 525 lít HRSN9552DDXVN,20490000.00đ
23,Nồi cơm điện APECHOME APH-RC180Y,760000.00đ
24,Bếp gas âm Torino Venice-2B,8190000.00đ
25,Máy ép trái cây 4 trong 1 Fujiyama 1.5 lít JE900,759000.00đ
26,Máy hút bụi PHILIPS XC4201/01,6450000.00đ
27,Bếp điện từ APECHOME APH-BT85S,489000.00đ
28,Nồi cơm điện 1.8L SUNHOUSE SHD8607W,869000.00đ
29,Thiết bị định vị Samsung Galaxy SmartTag (Đen),990000.00đ
30,Pin sạc dự phòng Suzumi SU-110 11000 mAh,399000.00đ
31,Cáp sạc lightning Caza X-09 Pro,79000.00đ
32,Laptop HP 240 G8 (2V0L6ES) Intel Core i3 1005G1/4 GB/1 TB HDD/Win10,9490000.00đ
33,Bộ cốc cáp sạc Caza T5-TC (Type C),99000.00đ
34,Nồi chiên không dầu Bluestone AFB-5871,2999000.00đ
35,Nồi chiên MAGIC ECO S05 (không dầu - kết hợp hấp),2990000.00đ
36,Máy hút bụi Hitachi 15 lít CV-940Y 24CV-PG,2990000.00đ
37,Nồi cơm Tiger 1 lít JNP1000,2790000.00đ
38,Máy phun áp lực Lavor Ninja Plus 130,2790000.00đ
39,Máy ép chậm Bluestone SJB-6556,2750000.00đ
40,Lò viba Panasonic NN-SM33HMYUE,2690000.00đ
41,Bếp điện từ đôi Q-Home QH-DF218,2680000.00đ
42,Bàn ủi hơi nước đứng Bluestone GSB-3941,2590000.00đ
43,Máy hút khói Sakura SCR-2881B,2390000.00đ
