,Player,Values,Min
0,Erling Haaland,€199.6M,2480.0
1,Martin Ødegaard,€125.8M,1865.0
2,Alexander Isak,€119.4M,2265.0
3,Cole Palmer,€117.4M,2652.0
4,Alexis Mac Allister,€117M,2381.0
5,Declan Rice,€116.4M,2410.0
6,Bukayo Saka,€113M,1366.0
7,Phil Foden,€99.8M,1686.0
8,Ryan Gravenberch,€85.5M,2741.0
9,Moisés Caicedo,€82.8M,2811.0
10,Bruno Guimarães,€82.3M,2661.0
11,Morgan Rogers,€79.6M,2597.0
12,William Saliba,€79.5M,2634.0
13,Joško Gvardiol,€77.4M,2737.0
14,Sávio,€74.8M,1657.0
15,Rúben Dias,€74.5M,1731.0
16,Enzo Fernández,€74.2M,2410.0
17,Lucas Paquetá,€73.5M,2077.0
18,Archie Gray,€72.5M,1346.0
19,Dominik Szoboszlai,€70.5M,2120.0
20,Kai Havertz,€70M,1839.0
21,Luis Díaz,€69.3M,2061.0
22,Cody Gakpo,€67.7M,1501.0
23,Brennan Johnson,€67M,1969.0
24,Nicolas Jackson,€66.9M,1948.0
25,Gabriel Magalhães,€66.5M,2363.0
26,Leny Yoro,€66.2M,967.0
27,Murillo,€66M,2748.0
28,Amadou Onana,€64.4M,1254.0
29,Ollie Watkins,€63.2M,2167.0
30,Mohammed Kudus,€63M,2167.0
31,Rico Lewis,€62.7M,1810.0
32,Matheus Cunha,€62.6M,2164.0
33,Eberechi Eze,€62.2M,2174.0
34,Micky van de Ven,€62M,905.0
35,Morgan Gibbs-White,€61.7M,2288.0
36,Curtis Jones,€61.6M,1414.0
37,João Pedro,€61.3M,1888.0
38,Bruno Fernandes,€61.2M,2636.0
39,Pedro Neto,€60.4M,1743.0
40,Dejan Kulusevski,€60.3M,2170.0
41,Gabriel Martinelli,€60M,1794.0
42,Cristian Romero,€60M,1371.0
43,Levi Colwill,€59.8M,2609.0
44,Darwin Núñez,€59.7M,1010.0
45,Destiny Udogie,€59.4M,1744.0
46,Alejandro Garnacho,€59.2M,1876.0
47,Marcus Rashford,€58.6M,978.0
48,Diogo Jota,€58.6M,1043.0
49,Bryan Mbeumo,€57.6M,2874.0
50,James Maddison,€57.3M,1764.0
51,Ibrahima Konaté,€57.2M,2140.0
52,Dean Huijsen,€56.3M,1874.0
53,Pedro Porro,€55.9M,2373.0
54,Trent Alexander-Arnold,€55.4M,2145.0
55,Illia Zabarnyi,€55.1M,2527.0
56,Kobbie Mainoo,€54.8M,1294.0
57,Anthony Gordon,€52.4M,2121.0
58,Noni Madueke,€52.3M,1601.0
59,Sandro Tonali,€52.1M,2000.0
60,Christopher Nkunku,€51.3M,921.0
61,Bernardo Silva,€51.1M,2131.0
62,João Gomes,€51.1M,2511.0
63,Dominic Solanke,€51M,2028.0
64,Carlos Baleba,€51M,2147.0
65,Matthijs de Ligt,€50.8M,2089.0
66,Pape Matar Sarr,€50.8M,1511.0
67,Adam Wharton,€49.3M,1088.0
68,Riccardo Calafiori,€49.3M,925.0
69,Kaoru Mitoma,€49.2M,2467.0
70,Lisandro Martínez,€49.2M,1751.0
71,Marc Guéhi,€48.9M,2609.0
72,Amad Diallo,€48.6M,1594.0
73,Valentino Livramento,€48.4M,2210.0
74,Jarrod Bowen,€48.4M,2456.0
75,Elliot Anderson,€46.2M,2227.0
76,Pau Torres,€46.1M,1639.0
77,Joelinton,€45.7M,2242.0
78,Jacob Ramsey,€45.7M,1406.0
79,Anthony Elanga,€45.6M,2007.0
80,Antoine Semenyo,€45.4M,2645.0
81,Noussair Mazraoui,€45.3M,2475.0
82,Boubacar Kamara,€45.2M,1202.0
83,Justin Kluivert,€44.3M,1936.0
84,Ezri Konsa,€44.3M,2396.0
85,Rayan Aït-Nouri,€44M,2618.0
86,Manuel Akanji,€43.7M,1707.0
87,Joshua Zirkzee,€43.3M,1402.0
88,Youri Tielemans,€43.3M,2735.0
89,Antonee Robinson,€42.7M,2719.0
90,Yankuba Minteh,€42.6M,1406.0
91,Harvey Barnes,€42.6M,1172.0
92,Matheus Nunes,€42.3M,1224.0
93,Jan Paul van Hecke,€41.9M,2509.0
94,Guglielmo Vicario,€41.6M,1800.0
95,Georginio Rutter,€41.2M,1656.0
96,Nikola Milenković,€40.6M,2790.0
97,Bilal El Khannouss,€40.6M,1748.0
98,Emile Smith Rowe,€40.4M,1805.0
99,Mikel Merino,€39.7M,1345.0
100,Marc Cucurella,€39.6M,2448.0
101,Max Kilman,€39.3M,2808.0
102,Leon Bailey,€38.6M,1138.0
103,Diogo Dalot,€37.5M,2756.0
104,Edson Álvarez,€36.7M,1633.0
105,Jadon Sancho,€36.2M,1610.0
106,Jean-Clair Todibo,€36.1M,1305.0
107,Lewis Hall,€36.1M,2189.0
108,Malo Gusto,€36.1M,1776.0
109,Myles Lewis-Skelly,€35.7M,959.0
110,Pervis Estupiñán,€35.4M,1952.0
111,André Onana,€34.2M,2790.0
112,Vitaliy Mykolenko,€33.5M,2542.0
113,Liam Delap,€33M,2344.0
114,Jarrad Branthwaite,€32.9M,2078.0
115,Joachim Andersen,€32.9M,1953.0
116,Matty Cash,€32.8M,1560.0
117,Bart Verbruggen,€32M,2700.0
118,Tyler Dibling,€32M,1667.0
119,Leandro Trossard,€31.8M,2091.0
120,Jean-Philippe Mateta,€31.7M,2302.0
121,Rodrigo Bentancur,€31.4M,1428.0
122,Yoane Wissa,€31.4M,2380.0
123,Lucas Bergvall,€31.3M,1112.0
124,Alex Iwobi,€31.2M,2463.0
125,Facundo Buonanotte,€31.1M,1399.0
126,Nathan Collins,€30.7M,2880.0
127,Wesley Fofana,€30.4M,1172.0
128,Jørgen Strand Larsen,€30.3M,2314.0
129,Yves Bissouma,€30M,1210.0
130,Taylor Harwood-Bellis,€29.9M,2390.0
131,Calvin Bassey,€29.9M,2534.0
132,Aaron Wan-Bissaka,€29.7M,2704.0
133,Kevin Schade,€29.7M,1845.0
134,André,€29.4M,1997.0
135,Daniel Muñoz,€28.9M,2598.0
136,David Raya,€28.7M,2880.0
137,Mikkel Damsgaard,€28.6M,2409.0
138,Leif Davis,€28.4M,2532.0
139,Dango Ouattara,€28.2M,1685.0
140,Sander Berge,€27.9M,1824.0
141,Keane Lewis-Potter,€27.3M,2639.0
142,Lesley Ugochukwu,€27.1M,1267.0
143,Dwight McNeil,€27M,1145.0
144,Evanilson,€26.9M,1723.0
145,Sepp van den Berg,€26.4M,2046.0
146,Maxence Lacroix,€25.8M,2486.0
147,Tomáš Souček,€25.6M,2150.0
148,Callum Hudson-Odoi,€25.4M,2074.0
149,Jacob Greaves,€25.4M,1665.0
150,Wout Faes,€25.3M,2275.0
151,Tyrick Mitchell,€25.1M,2582.0
152,Iliman Ndiaye,€24.9M,2039.0
153,Robert Sánchez,€24.8M,2340.0
154,Tosin Adarabioyo,€24.8M,1227.0
155,Tyler Adams,€24.5M,1380.0
156,Alisson,€24.5M,1968.0
157,Jesper Lindstrøm,€24.4M,1239.0
158,Marcus Tavernier,€24.4M,1505.0
159,Beto,€24.4M,1101.0
160,Orel Mangala,€24.4M,1261.0
161,Jordan Pickford,€23.8M,2880.0
162,Carlos Soler,€23.3M,1257.0
163,James Garner,€23.2M,1054.0
164,Emiliano Martínez,€23M,2700.0
165,Dean Henderson,€22.7M,2790.0
166,Neco Williams,€22.6M,2054.0
167,Mateus Fernandes,€22.5M,2409.0
168,Vitaly Janelt,€22.2M,2250.0
169,Dara O'Shea,€21.8M,2582.0
170,John McGinn,€21.6M,1891.0
171,Kristoffer Ajer,€21.5M,1363.0
172,Yasin Ayari,€21.5M,1633.0
173,Jean-Ricner Bellegarde,€21.3M,1479.0
174,Andrew Robertson,€20.6M,2218.0
175,Kevin De Bruyne,€20.4M,1279.0
176,Wilfred Ndidi,€20.4M,1885.0
177,Marcos Senesi,€20.3M,963.0
178,Trevoh Chalobah,€20.2M,1060.0
179,Jake O'Brien,€19.7M,1121.0
180,Lewis Cook,€19.5M,2572.0
181,Ederson,€19.5M,1960.0
182,Jack Clarke,€19.4M,960.0
183,Ola Aina,€19.3M,2569.0
184,Djed Spence,€19.2M,1334.0
185,Mads Hermansen,€19.2M,2205.0
186,Konstantinos Mavropanos,€19.1M,1849.0
187,Andreas Pereira,€18.9M,1676.0
188,Nicolás Domínguez,€18.8M,1567.0
189,Aaron Ramsdale,€18.7M,2160.0
190,Toti Gomes,€18.6M,2074.0
191,Cameron Archer,€18.6M,1314.0
192,Kamaldeen Sulemana,€18.5M,972.0
193,Mohamed Salah,€18.3M,2831.0
194,Yehor Yarmoliuk,€18M,964.0
195,Jacob Murphy,€17.9M,1893.0
196,Issa Diop,€17.9M,1339.0
197,Jack Harrison,€17.9M,1747.0
198,Dominic Calvert-Lewin,€17.8M,1574.0
199,Ryan Yates,€17.5M,1742.0
200,Kalvin Phillips,€17.3M,1214.0
201,Timothy Castagne,€16.8M,1522.0
202,Kyle Walker-Peters,€16.6M,2648.0
203,Caleb Okoli,€16.6M,1124.0
204,Virgil van Dijk,€16.6M,2880.0
205,James Justin,€16.4M,2526.0
206,Ryan Christie,€16.2M,2117.0
207,Bernd Leno,€16M,2790.0
208,Yukinari Sugawara,€15.8M,1467.0
209,Chris Richards,€15.7M,1428.0
210,James Tarkowski,€15.5M,2871.0
