,Player,Values,Nation,Team,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xGA/90,GA90,Save%,CS%,PSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,SCmp%,MCmp%,LCmpt%,KP,1/3(passing),PPA,CrsPA,PrgP(passing),SCA,SCA90,GCA,GCA90,Tkl,TklW,Att(defense),Lost(defense),Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att(possession),Succ%,Tkld%,Carries,PrgDist,PrgC(possession),1/3(possession),CPA,Mis,Dis,Rec,PrgR(possession),Fls,Fld,Off,Crs,Recov,Won,Lost,Won%
0,Erling Haaland,€199.6M,no NOR,Manchester City,FW,24-280,28,28,2480.0,21,3,2,0,20.8,2.8,19,18,103,0.76,0.87,0.76,0.1,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,225,66.0,2706,70.6,66.7,66.7,26,9,7,1,18,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,478,19,14,19,39,25,427,103,22,12,4,3,29,49,45,52.1
1,Martin Ødegaard,€125.8M,no NOR,Arsenal,MF,26-131,26,23,2040.0,2,6,4,0,4.4,4.6,79,231,142,0.09,0.35,0.2,0.2,N/a,N/a,N/a,N/a,31.7,0.57,0.02,18.7,1099,82.6,17070,90.3,87.1,53.0,56,115,78,5,231,112,4.95,13,0.57,19,11,24,20,4,0,4,4,1494,6,98,625,785,104,54,40.7,55.6,1031,3279,79,72,23,28,38,1188,142,10,20,1,80,86,8,7,53.3
2,Alexander Isak,€119.4M,se SWE,Newcastle Utd,FW,25-218,31,31,2487.0,22,6,1,0,19.0,4.0,77,77,196,0.8,1.01,0.69,0.15,N/a,N/a,N/a,N/a,42.5,1.34,0.22,14.5,459,74.0,6537,83.2,77.5,62.2,38,32,26,1,77,85,3.08,14,0.51,12,5,12,7,18,2,16,3,932,20,54,348,544,174,87,48.3,50.6,556,1721,77,40,43,62,50,659,196,25,13,20,15,54,25,48,34.2
3,Cole Palmer,€117.4M,eng ENG,Chelsea,MF,22-356,33,32,2831.0,14,8,6,0,15.8,9.3,103,194,165,0.45,0.7,0.5,0.3,N/a,N/a,N/a,N/a,36.0,1.27,0.10,20.3,1019,76.9,19338,85.9,84.8,59.6,78,145,61,17,194,180,5.72,14,0.45,25,16,21,13,14,1,13,8,1650,20,133,735,804,126,103,45.6,39.8,1046,3306,103,66,35,61,34,1219,165,12,55,6,133,93,1,7,12.5
4,Alexis Mac Allister,€117M,ar ARG,Liverpool,MF,26-124,32,29,2471.0,4,4,6,0,2.7,4.4,32,169,75,0.15,0.29,0.1,0.16,N/a,N/a,N/a,N/a,34.3,0.44,0.11,18.2,1210,83.4,19378,89.9,88.4,56.0,41,116,34,2,169,115,4.19,14,0.51,88,54,92,43,58,5,53,21,1770,52,265,921,603,56,42,38.1,50.0,869,1887,32,39,3,29,22,1175,75,59,39,2,80,138,18,33,35.3
5,Declan Rice,€116.4M,eng ENG,Arsenal,MF,26-103,32,30,2572.0,2,7,7,1,2.7,6.5,87,175,88,0.07,0.31,0.09,0.23,N/a,N/a,N/a,N/a,24.4,0.35,0.05,19.7,1285,83.6,21932,92.4,90.3,49.3,55,123,34,5,175,102,3.57,9,0.31,49,22,37,21,24,11,13,24,1806,71,294,846,683,74,26,42.3,53.8,960,3225,87,54,16,36,29,1182,88,19,15,1,155,139,30,23,56.6
6,Bukayo Saka,€113M,eng ENG,Arsenal,"FW,MF",23-234,21,17,1454.0,6,10,3,0,5.9,6.7,79,61,222,0.37,0.99,0.36,0.42,N/a,N/a,N/a,N/a,35.2,1.18,0.09,15.9,470,75.1,7266,90.0,72.4,48.2,49,13,32,10,61,100,6.19,22,1.36,23,13,20,10,19,0,19,2,840,6,46,180,621,139,83,44.6,41.0,535,2065,79,27,43,28,37,610,222,13,35,5,109,61,8,19,29.6
7,Phil Foden,€99.8M,eng ENG,Manchester City,"MF,FW",24-334,25,19,1686.0,7,2,2,0,5.1,4.7,47,95,119,0.37,0.48,0.27,0.25,N/a,N/a,N/a,N/a,30.8,0.85,0.13,18.5,742,84.0,11563,90.6,89.2,59.6,42,40,35,5,95,84,4.48,9,0.48,12,5,17,10,12,1,11,9,1074,13,81,374,628,79,39,33.3,53.8,676,1674,47,30,15,35,30,840,119,5,31,3,73,58,3,8,27.3
8,Ryan Gravenberch,€85.5M,nl NED,Liverpool,MF,22-346,33,33,2831.0,0,3,5,0,1.0,2.8,62,160,54,0.0,0.1,0.03,0.09,N/a,N/a,N/a,N/a,23.5,0.13,0.00,24.2,1560,88.9,23289,92.4,91.9,60.0,24,135,31,1,160,63,2.0,6,0.19,62,32,49,20,33,10,23,56,2119,103,429,1243,474,23,70,47.1,37.1,1257,3302,62,70,9,45,19,1515,54,40,46,0,6,174,25,13,65.8
9,Moisés Caicedo,€82.8M,ec ECU,Chelsea,MF,23-176,34,34,2991.0,1,2,10,0,0.8,2.9,38,194,33,0.03,0.09,0.02,0.09,N/a,N/a,N/a,N/a,16.7,0.09,0.06,25.1,1792,89.7,31004,92.2,92.5,77.8,28,215,31,2,194,90,2.71,7,0.21,100,63,80,30,44,9,35,47,2340,85,502,1442,421,12,54,42.6,35.2,1308,2919,38,28,2,35,23,1642,33,61,54,0,8,197,30,15,66.7
10,Bruno Guimarães,€82.3M,br BRA,Newcastle Utd,MF,27-162,34,34,2912.0,4,6,6,0,3.8,5.6,53,241,79,0.12,0.31,0.12,0.17,N/a,N/a,N/a,N/a,23.7,0.28,0.11,16.3,1303,82.1,21479,90.7,87.5,56.4,45,158,67,6,241,119,3.68,17,0.53,71,41,61,32,33,9,24,27,1963,74,396,1011,577,71,71,47.9,29.6,1274,3047,53,39,11,51,73,1474,79,54,99,2,24,161,17,16,51.5
11,Morgan Rogers,€79.6M,eng ENG,Aston Villa,"FW,MF",22-275,33,33,2763.0,8,8,9,0,6.1,6.9,102,113,171,0.26,0.52,0.2,0.22,N/a,N/a,N/a,N/a,36.5,0.62,0.15,15.8,606,73.9,8871,81.4,76.6,80.0,45,69,51,2,113,95,3.1,13,0.42,35,18,38,20,24,7,17,5,1229,36,182,535,537,133,145,41.4,45.5,718,2908,102,62,32,102,67,866,171,46,47,2,21,103,11,43,20.4
12,William Saliba,€79.5M,fr FRA,Arsenal,DF,24-034,32,32,2814.0,2,0,2,1,2.3,0.9,16,134,6,0.06,0.06,0.07,0.03,N/a,N/a,N/a,N/a,33.3,0.06,0.33,5.4,2273,94.2,39201,95.7,96.1,80.4,7,175,6,0,134,26,0.83,1,0.03,58,34,26,6,23,14,9,21,2657,173,1036,1495,141,18,18,66.7,27.8,1642,3937,16,17,1,17,7,2013,6,27,17,1,3,140,57,35,62.0
13,Omar Marmoush,€79.1M,eg EGY,Manchester City,"FW,MF",26-079,12,11,916.0,6,0,0,0,4.7,1.7,20,26,63,0.59,0.59,0.46,0.17,N/a,N/a,N/a,N/a,44.4,1.57,0.17,18.1,192,78.4,2647,84.6,79.7,50.0,13,8,22,4,26,33,3.24,1,0.1,11,6,14,7,14,1,13,5,389,2,27,114,253,52,35,40.0,48.6,249,730,20,14,11,34,13,282,63,13,17,9,25,29,5,8,38.5
14,Joško Gvardiol,€77.4M,hr CRO,Manchester City,DF,23-094,33,32,2917.0,5,0,2,0,4.4,2.0,78,240,96,0.15,0.15,0.13,0.06,N/a,N/a,N/a,N/a,29.7,0.34,0.14,13.0,2240,90.9,36418,94.3,93.1,67.9,25,225,19,1,240,69,2.13,7,0.22,51,34,37,18,39,19,20,36,2808,141,703,1412,716,85,40,57.5,35.0,1826,5505,78,91,13,24,16,2062,96,13,21,2,19,130,48,33,59.3
15,Sávio,€74.8M,br BRA,Manchester City,"FW,MF",21-017,27,21,1734.0,1,8,3,0,4.9,6.8,133,66,239,0.05,0.47,0.25,0.35,N/a,N/a,N/a,N/a,38.9,1.09,0.02,17.7,676,80.9,10078,89.8,80.1,57.4,44,19,47,8,66,107,5.55,15,0.78,22,16,18,9,13,2,11,6,1071,14,55,281,754,149,111,45.9,35.1,766,3494,133,44,73,42,37,834,239,17,27,3,81,79,1,2,33.3
16,Rúben Dias,€74.5M,pt POR,Manchester City,DF,27-348,23,21,1911.0,0,0,4,0,1.4,0.3,34,120,6,0.0,0.0,0.07,0.01,N/a,N/a,N/a,N/a,29.4,0.24,0.00,18.4,1852,93.3,31998,96.9,96.2,66.4,5,178,5,0,120,22,1.04,1,0.05,15,9,9,3,17,14,3,18,2133,188,711,1175,251,22,3,66.7,33.3,1524,5097,34,53,1,6,1,1738,6,11,8,0,3,65,30,29,50.8
17,Enzo Fernández,€74.2M,ar ARG,Chelsea,MF,24-100,32,28,2590.0,5,7,7,0,5.4,6.3,57,196,115,0.17,0.42,0.19,0.22,N/a,N/a,N/a,N/a,36.7,0.63,0.10,18.6,1397,80.0,24772,88.8,84.9,58.4,71,155,39,7,196,137,4.76,16,0.56,61,30,78,49,32,5,27,11,2021,32,309,1027,698,73,46,45.7,39.1,1115,2529,57,53,8,27,27,1487,115,45,47,1,103,141,13,27,32.5
18,Lucas Paquetá,€73.5M,br BRA,West Ham,"MF,FW",27-243,30,26,2257.0,4,0,8,0,5.2,3.0,20,141,84,0.16,0.16,0.21,0.12,N/a,N/a,N/a,N/a,7.9,0.12,0.05,19.5,1046,77.4,17325,84.0,79.6,63.4,35,121,42,4,141,78,3.11,6,0.24,63,35,49,25,27,4,23,17,1669,58,336,918,428,56,42,40.5,47.6,853,1224,20,30,2,51,50,1179,84,49,57,6,28,140,47,57,45.2
19,Archie Gray,€72.5M,eng ENG,Tottenham,"DF,MF",19-046,23,14,1346.0,0,0,0,0,0.0,0.1,5,31,15,0.0,0.0,0.0,0.01,N/a,N/a,N/a,N/a,100.0,0.07,0.00,24.6,900,88.8,15780,92.5,93.0,61.4,2,37,0,0,31,5,0.33,0,0.0,12,6,16,10,19,10,9,10,1117,133,542,507,78,2,9,44.4,44.4,788,1492,5,5,0,7,10,849,15,9,11,0,12,56,9,8,52.9
20,Dominik Szoboszlai,€70.5M,hu HUN,Liverpool,MF,24-184,31,25,2190.0,5,3,6,0,6.9,5.1,64,110,118,0.21,0.33,0.28,0.21,N/a,N/a,N/a,N/a,31.7,0.78,0.08,18.6,996,84.6,15375,89.1,88.1,72.3,43,74,31,5,110,99,4.07,12,0.49,30,20,37,22,34,4,30,9,1408,23,180,684,562,92,35,54.3,37.1,721,2030,64,45,17,34,20,961,118,35,21,4,33,117,18,22,45.0
21,Kai Havertz,€70M,de GER,Arsenal,"FW,MF",25-320,21,21,1839.0,9,3,4,0,9.4,2.4,34,59,110,0.44,0.59,0.46,0.12,N/a,N/a,N/a,N/a,40.4,1.03,0.17,11.7,401,78.5,4833,84.1,82.5,45.5,16,26,8,1,59,41,2.01,3,0.15,16,9,15,11,22,4,18,6,768,31,88,282,403,103,38,23.7,63.2,411,922,34,23,18,42,22,575,110,36,21,14,11,39,62,73,45.9
22,Luis Díaz,€69.3M,co COL,Liverpool,FW,28-104,32,25,2150.0,11,5,2,0,9.2,4.9,102,102,265,0.46,0.67,0.39,0.2,N/a,N/a,N/a,N/a,40.6,1.09,0.17,13.7,683,84.4,10916,89.1,86.1,82.1,53,43,43,6,102,115,4.81,16,0.67,33,21,34,21,15,0,15,7,1088,15,75,377,655,154,110,46.4,43.6,718,2777,102,51,55,51,42,860,265,46,29,10,29,96,12,33,26.7
23,Cody Gakpo,€67.7M,nl NED,Liverpool,FW,25-355,30,18,1560.0,8,3,4,0,6.2,3.5,45,49,237,0.46,0.63,0.36,0.2,N/a,N/a,N/a,N/a,40.4,1.1,0.17,15.2,403,76.6,5722,87.1,67.6,57.1,32,22,26,8,49,65,3.75,6,0.35,24,12,23,12,18,2,16,9,728,20,67,208,467,83,47,57.4,31.9,489,1711,45,27,18,37,18,551,237,16,20,5,61,58,15,21,41.7
24,Brennan Johnson,€67M,wls WAL,Tottenham,FW,23-339,30,22,1993.0,11,3,5,0,9.8,2.3,57,68,192,0.5,0.63,0.44,0.1,N/a,N/a,N/a,N/a,37.7,0.9,0.21,11.4,433,71.6,5707,81.1,75.3,37.9,19,25,34,6,68,46,2.08,7,0.32,39,26,31,15,22,3,19,4,807,16,88,272,459,120,42,45.2,47.6,519,1394,57,20,32,24,16,598,192,25,24,9,51,58,7,20,25.9
25,Nicolas Jackson,€66.9M,sn SEN,Chelsea,FW,23-311,28,26,2114.0,10,5,7,0,12.2,4.3,46,37,125,0.43,0.64,0.52,0.18,N/a,N/a,N/a,N/a,43.2,1.36,0.14,12.7,291,76.2,3909,81.9,78.0,64.3,28,22,10,1,37,68,2.9,10,0.43,19,11,8,5,13,2,11,3,658,19,46,272,349,137,59,30.5,50.8,401,1293,46,24,30,65,39,490,125,32,29,19,3,44,18,35,34.0
26,Gabriel Magalhães,€66.5M,br BRA,Arsenal,DF,27-129,28,28,2363.0,3,1,4,0,2.6,0.9,10,126,11,0.11,0.15,0.1,0.03,N/a,N/a,N/a,N/a,22.7,0.19,0.14,9.5,1480,90.2,25788,96.9,94.2,53.9,13,145,8,0,126,35,1.33,6,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,80.0,20.0,1116,2669,10,22,0,9,2,1366,11,19,19,0,9,63,53,37,58.9
27,Jérémy Doku,€66.5M,be BEL,Manchester City,"FW,MF",22-335,25,14,1307.0,3,5,1,0,1.0,3.9,176,62,235,0.21,0.55,0.07,0.27,N/a,N/a,N/a,N/a,37.5,0.62,0.13,18.2,517,79.5,7264,86.8,81.9,66.7,25,10,41,5,62,63,4.34,12,0.83,28,19,14,7,10,1,9,4,878,4,42,205,654,122,175,56.0,28.0,678,4066,176,83,80,51,50,729,235,7,30,5,48,52,0,10,0.0
28,Leny Yoro,€66.2M,fr FRA,Manchester Utd,DF,19-165,18,10,979.0,0,0,5,0,0.7,0.0,17,43,4,0.0,0.0,0.06,0.0,N/a,N/a,N/a,N/a,20.0,0.09,0.00,8.6,605,92.4,9807,95.1,94.5,65.0,0,42,2,1,43,5,0.46,0,0.0,23,10,15,6,5,3,2,17,764,70,355,359,52,10,3,33.3,66.7,527,1446,17,10,1,2,2,563,4,8,1,1,1,34,14,13,51.9
